EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2561,5000,  0,  27,    1,     2,    393 
2199,5000,  0,  27,    1,     2,    394 
2077,5000,  0,  27,    1,     2,    393 
2062,5000,  0,  27,    1,     2,    399 
2102,5000,  1,  27,    1,     2,    393 
2079,5000,  1,  27,    1,     2,    394 
2102,5000,  1,  27,    1,     2,    395 
2074,5000,  0,  27,    1,     2,    396 
2071,5000,  0,  27,    1,     2,    396 
2061,5000,  0,  27,    1,     2,    393 
