EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2720,5000, 31,  12,    9,     2,    395 
1906,5000, 35,  12,    9,     2,    396 
1848,5000, 24,  12,    9,     2,    398 
1793,5000, 31,  12,    9,     2,    395 
1906,5000, 23,  12,    9,     2,    394 
1802,5000, 29,  12,    9,     2,    394 
1806,5000, 33,  12,    9,     2,    396 
1771,5000, 29,  12,    9,     2,    391 
1792,5000, 26,  12,    9,     2,    397 
1762,5000, 24,  12,    9,     2,    395 
