EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2473,5000, 30,  13,    9,     2,    396 
1935,5000, 23,  13,    9,     2,    394 
1843,5000, 26,  13,    9,     2,    393 
1831,5000, 30,  13,    9,     2,    397 
1913,5000, 26,  13,    9,     2,    395 
1837,5000, 28,  13,    9,     2,    399 
1776,5000, 31,  13,    9,     2,    395 
1812,5000, 22,  13,    9,     2,    396 
1798,5000, 26,  13,    9,     2,    395 
1846,5000, 41,  13,    9,     2,    395 
