EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3228,5000,  4,  30,    6,     2,    395 
2232,5000,  0,  30,    6,     2,    393 
2285,5000,  5,  30,    6,     2,    393 
2248,5000,  6,  30,    6,     2,    392 
2509,5000,  3,  30,    6,     2,    393 
2194,5000,  4,  30,    6,     2,    394 
2174,5000,  5,  30,    6,     2,    390 
2370,5000,  0,  30,    6,     2,    395 
2290,5000,  0,  30,    6,     2,    397 
2202,5000,  0,  30,    6,     2,    393 
