EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2900,5000, 21,  12,    7,     2,    393 
1911,5000, 24,  12,    7,     2,    393 
1811,5000, 28,  12,    7,     2,    396 
1830,5000, 27,  12,    7,     2,    392 
1753,5000, 20,  12,    7,     2,    400 
1802,5000, 19,  12,    7,     2,    398 
1800,5000, 29,  12,    7,     2,    394 
1763,5000, 27,  12,    7,     2,    391 
1802,5000, 32,  12,    7,     2,    392 
1800,5000, 29,  12,    7,     2,    394 
