EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2821,5000,  3,  16,    2,     2,    394 
1880,5000,  7,  16,    2,     2,    393 
1826,5000,  5,  16,    2,     2,    404 
1803,5000,  5,  16,    2,     2,    394 
1879,5000,  5,  16,    2,     2,    395 
1799,5000,  4,  16,    2,     2,    395 
1780,5000,  3,  16,    2,     2,    390 
1847,5000,  3,  16,    2,     2,    397 
1818,5000,  4,  16,    2,     2,    392 
1800,5000,  5,  16,    2,     2,    394 
