EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2481,5000,  1,  17,    1,     2,    394 
1863,5000,  2,  17,    1,     2,    394 
1833,5000,  2,  17,    1,     2,    393 
1833,5000,  1,  17,    1,     2,    398 
1820,5000,  2,  17,    1,     2,    396 
1817,5000,  3,  17,    1,     2,    394 
1824,5000,  3,  17,    1,     2,    392 
1935,5000,  2,  17,    1,     2,    399 
1828,5000,  4,  17,    1,     2,    394 
1828,5000,  3,  17,    1,     2,    395 
