EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3122,5000,  4,  21,    4,     2,    392 
2556,5000,  7,  21,    4,     2,    398 
2538,5000,  7,  21,    4,     2,    395 
2500,5000,  5,  21,    4,     2,    396 
2536,5000,  4,  21,    4,     2,    392 
2479,5000,  4,  21,    4,     2,    395 
2510,5000,  8,  21,    4,     2,    395 
2480,5000,  8,  21,    4,     2,    399 
2459,5000,  4,  21,    4,     2,    397 
2473,5000,  5,  21,    4,     2,    393 
