EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3286,5000,  7,  24,    9,     2,    394 
2693,5000, 13,  24,    9,     2,    392 
2095,5000, 13,  24,    9,     2,    396 
2046,5000, 13,  24,    9,     2,    393 
2044,5000, 11,  24,    9,     2,    395 
2097,5000, 11,  24,    9,     2,    396 
2023,5000, 11,  24,    9,     2,    393 
2032,5000, 10,  24,    9,     2,    395 
2023,5000, 10,  24,    9,     2,    393 
2025,5000, 11,  24,    9,     2,    395 
