EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2862,5000, 40,   7,    5,     2,    394 
1965,5000, 42,   7,    5,     2,    396 
1879,5000, 47,   7,    5,     2,    393 
1992,5000, 53,   7,    5,     2,    392 
2265,5000, 51,   7,    5,     2,    391 
1899,5000, 39,   7,    5,     2,    399 
1875,5000, 42,   7,    5,     2,    394 
1813,5000, 36,   7,    5,     2,    395 
1886,5000, 46,   7,    5,     2,    395 
1828,5000, 41,   7,    5,     2,    395 
