EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2666,5000,  8,  18,    8,     2,    392 
2012,5000, 21,  18,    8,     2,    392 
1985,5000, 16,  18,    8,     2,    395 
1894,5000, 14,  18,    8,     2,    392 
1926,5000, 18,  18,    8,     2,    399 
1960,5000, 15,  18,    8,     2,    394 
1902,5000, 20,  18,    8,     2,    393 
1900,5000, 17,  18,    8,     2,    392 
1928,5000, 14,  18,    8,     2,    393 
1900,5000,  6,  18,    8,     2,    406 
