EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3216,5000,  4,  23,    6,     2,    396 
2092,5000,  6,  23,    6,     2,    393 
2047,5000,  6,  23,    6,     2,    394 
2062,5000,  5,  23,    6,     2,    396 
2025,5000,  6,  23,    6,     2,    396 
2122,5000,  7,  23,    6,     2,    395 
2007,5000, 10,  23,    6,     2,    393 
2001,5000,  7,  23,    6,     2,    397 
2034,5000,  8,  23,    6,     2,    394 
2016,5000,  8,  23,    6,     2,    392 
