EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2738,5000, 12,  20,    9,     2,    391 
1999,5000, 11,  20,    9,     2,    388 
2021,5000, 13,  20,    9,     2,    395 
1952,5000, 10,  20,    9,     2,    393 
1942,5000,  9,  20,    9,     2,    392 
2010,5000, 15,  20,    9,     2,    398 
1968,5000, 15,  20,    9,     2,    392 
1919,5000,  7,  20,    9,     2,    393 
1926,5000, 11,  20,    9,     2,    393 
1936,5000, 12,  20,    9,     2,    397 
