EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2813,5000, 11,  21,    9,     2,    392 
2022,5000,  6,  21,    9,     2,    395 
2037,5000, 11,  21,    9,     2,    394 
1953,5000, 10,  21,    9,     2,    393 
1952,5000,  9,  21,    9,     2,    393 
2057,5000, 13,  21,    9,     2,    395 
1957,5000,  6,  21,    9,     2,    392 
1961,5000,  8,  21,    9,     2,    393 
1958,5000,  8,  21,    9,     2,    394 
1930,5000, 10,  21,    9,     2,    392 
