EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3264,5000, 89,   4,    4,     2,    397 
2492,5000, 95,   4,    4,     2,    393 
2413,5000, 96,   4,    4,     2,    396 
2550,5000,104,   4,    4,     2,    395 
2200,5000, 94,   4,    4,     2,    395 
2417,5000,102,   4,    4,     2,    399 
2309,5000, 84,   4,    4,     2,    396 
2397,5000, 99,   4,    4,     2,    395 
2663,5000,111,   4,    4,     2,    396 
2382,5000, 95,   4,    4,     2,    396 
