EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2831,5000,  7,  15,    3,     2,    390 
1854,5000,  8,  15,    3,     2,    394 
1863,5000,  9,  15,    3,     2,    393 
1791,5000, 11,  15,    3,     2,    391 
1866,5000,  9,  15,    3,     2,    398 
1801,5000,  9,  15,    3,     2,    395 
1890,5000,  8,  15,    3,     2,    393 
1807,5000, 10,  15,    3,     2,    393 
1787,5000,  4,  15,    3,     2,    397 
1799,5000, 11,  15,    3,     2,    399 
