EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2589,5000, 12,  14,    4,     2,    395 
1856,5000,  9,  14,    4,     2,    395 
1844,5000, 10,  14,    4,     2,    399 
1805,5000, 10,  14,    4,     2,    393 
1804,5000, 14,  14,    4,     2,    394 
1797,5000,  7,  14,    4,     2,    398 
1903,5000, 14,  14,    4,     2,    392 
1801,5000, 12,  14,    4,     2,    398 
1769,5000,  9,  14,    4,     2,    394 
1801,5000, 11,  14,    4,     2,    392 
