EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2755,5000,  6,  25,    6,     2,    392 
2123,5000,  3,  25,    6,     2,    396 
2098,5000,  7,  25,    6,     2,    395 
2126,5000,  6,  25,    6,     2,    395 
2050,5000,  6,  25,    6,     2,    393 
2150,5000,  6,  25,    6,     2,    394 
2108,5000,  7,  25,    6,     2,    393 
2065,5000,  8,  25,    6,     2,    392 
2065,5000,  0,  25,    6,     2,    402 
2044,5000,  7,  25,    6,     2,    394 
