EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2590,5000,  4,  20,    4,     2,    395 
1960,5000,  4,  20,    4,     2,    397 
1929,5000,  7,  20,    4,     2,    397 
1932,5000,  4,  20,    4,     2,    396 
1966,5000,  4,  20,    4,     2,    396 
1936,5000,  4,  20,    4,     2,    393 
2002,5000,  7,  20,    4,     2,    396 
1917,5000,  9,  20,    4,     2,    392 
1886,5000,  2,  20,    4,     2,    396 
1909,5000,  9,  20,    4,     2,    397 
