EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2515,5000, 16,  12,    4,     2,    394 
1850,5000, 22,  12,    4,     2,    398 
1802,5000, 15,  12,    4,     2,    399 
1731,5000, 12,  12,    4,     2,    396 
1713,5000, 15,  12,    4,     2,    394 
1752,5000, 12,  12,    4,     2,    397 
1892,5000, 17,  12,    4,     2,    397 
1763,5000, 12,  12,    4,     2,    393 
1747,5000,  8,  12,    4,     2,    397 
1767,5000, 15,  12,    4,     2,    400 
