EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3200,5000, 15,  16,    8,     2,    393 
1968,5000, 17,  16,    8,     2,    392 
1869,5000, 21,  16,    8,     2,    398 
1831,5000, 17,  16,    8,     2,    393 
1855,5000, 17,  16,    8,     2,    396 
1896,5000, 16,  16,    8,     2,    396 
1870,5000, 20,  16,    8,     2,    394 
1876,5000, 20,  16,    8,     2,    396 
1845,5000, 11,  16,    8,     2,    396 
1835,5000, 15,  16,    8,     2,    396 
