EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2776,5000, 13,  15,    7,     2,    392 
2024,5000, 19,  15,    7,     2,    396 
1840,5000, 16,  15,    7,     2,    396 
1857,5000, 15,  15,    7,     2,    395 
1783,5000, 15,  15,    7,     2,    392 
1925,5000, 17,  15,    7,     2,    395 
1839,5000, 23,  15,    7,     2,    393 
1826,5000, 12,  15,    7,     2,    396 
1829,5000, 14,  15,    7,     2,    397 
1795,5000, 19,  15,    7,     2,    394 
