EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2780,5000,  5,  21,    7,     2,    392 
2022,5000,  9,  21,    7,     2,    394 
1988,5000, 10,  21,    7,     2,    394 
2000,5000, 10,  21,    7,     2,    394 
1958,5000,  7,  21,    7,     2,    396 
2015,5000,  4,  21,    7,     2,    394 
2061,5000,  6,  21,    7,     2,    399 
1948,5000,  6,  21,    7,     2,    395 
1937,5000,  3,  21,    7,     2,    395 
1964,5000,  8,  21,    7,     2,    395 
