EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2911,5000, 38,   7,    4,     2,    399 
2054,5000, 39,   7,    4,     2,    395 
1922,5000, 31,   7,    4,     2,    395 
1858,5000, 36,   7,    4,     2,    389 
1927,5000, 34,   7,    4,     2,    398 
1978,5000, 27,   7,    4,     2,    392 
1827,5000, 35,   7,    4,     2,    398 
1824,5000, 34,   7,    4,     2,    396 
1882,5000, 35,   7,    4,     2,    394 
1915,5000, 28,   7,    4,     2,    394 
