EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2810,5000,  4,  11,    1,     2,    396 
1748,5000,  3,  11,    1,     2,    394 
1774,5000,  5,  11,    1,     2,    396 
1762,5000,  7,  11,    1,     2,    398 
1710,5000,  4,  11,    1,     2,    398 
1791,5000,  4,  11,    1,     2,    396 
1770,5000,  4,  11,    1,     2,    396 
1775,5000,  4,  11,    1,     2,    396 
1864,5000,  4,  11,    1,     2,    397 
1726,5000,  6,  11,    1,     2,    393 
