EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2741,5000,  7,  26,    7,     2,    395 
2169,5000,  7,  26,    7,     2,    395 
2156,5000,  6,  26,    7,     2,    393 
2131,5000,  2,  26,    7,     2,    393 
2099,5000,  5,  26,    7,     2,    401 
2093,5000, 10,  26,    7,     2,    397 
2095,5000,  7,  26,    7,     2,    401 
2110,5000,  6,  26,    7,     2,    398 
2144,5000, 15,  26,    7,     2,    395 
2052,5000,  2,  26,    7,     2,    396 
