EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2594,5000,  2,  24,    2,     2,    395 
2087,5000,  3,  24,    2,     2,    395 
2022,5000,  1,  24,    2,     2,    394 
2017,5000,  3,  24,    2,     2,    391 
2028,5000,  3,  24,    2,     2,    398 
1991,5000,  3,  24,    2,     2,    396 
2078,5000,  4,  24,    2,     2,    396 
2032,5000,  1,  24,    2,     2,    396 
2026,5000,  2,  24,    2,     2,    394 
1994,5000,  1,  24,    2,     2,    392 
