EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2711,5000,  9,  13,    2,     2,    394 
1852,5000,  7,  13,    2,     2,    393 
1786,5000,  7,  13,    2,     2,    393 
1770,5000,  7,  13,    2,     2,    392 
1815,5000,  8,  13,    2,     2,    396 
1763,5000,  9,  13,    2,     2,    396 
1742,5000,  6,  13,    2,     2,    397 
1918,5000,  9,  13,    2,     2,    393 
1731,5000,  4,  13,    2,     2,    393 
1750,5000,  6,  13,    2,     2,    394 
