EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2672,5000,  6,  18,    3,     2,    395 
1891,5000,  7,  18,    3,     2,    392 
1896,5000,  7,  18,    3,     2,    393 
1883,5000,  4,  18,    3,     2,    393 
1941,5000,  5,  18,    3,     2,    396 
1871,5000,  4,  18,    3,     2,    392 
1950,5000,  3,  18,    3,     2,    392 
1847,5000,  4,  18,    3,     2,    395 
1855,5000,  4,  18,    3,     2,    395 
1841,5000,  3,  18,    3,     2,    395 
