EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2724,5000, 48,   9,    9,     2,    395 
1826,5000, 46,   9,    9,     2,    391 
1797,5000, 45,   9,    9,     2,    397 
1833,5000, 42,   9,    9,     2,    394 
1945,5000, 52,   9,    9,     2,    391 
1833,5000, 56,   9,    9,     2,    396 
1821,5000, 59,   9,    9,     2,    396 
1843,5000, 50,   9,    9,     2,    397 
1845,5000, 49,   9,    9,     2,    400 
1832,5000, 50,   9,    9,     2,    396 
