EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2720,5000,  1,  28,    1,     2,    397 
2179,5000,  1,  28,    1,     2,    395 
2113,5000,  0,  28,    1,     2,    391 
2096,5000,  0,  28,    1,     2,    392 
2138,5000,  0,  28,    1,     2,    391 
2141,5000,  2,  28,    1,     2,    397 
2200,5000,  2,  28,    1,     2,    392 
2126,5000,  1,  28,    1,     2,    397 
2098,5000,  0,  28,    1,     2,    396 
2099,5000,  0,  28,    1,     2,    392 
