EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2721,5000,  4,  27,    5,     2,    390 
2159,5000,  4,  27,    5,     2,    394 
2107,5000,  5,  27,    5,     2,    392 
2144,5000,  2,  27,    5,     2,    389 
2111,5000,  6,  27,    5,     2,    394 
2173,5000,  4,  27,    5,     2,    393 
2060,5000,  4,  27,    5,     2,    397 
2112,5000,  2,  27,    5,     2,    391 
2077,5000,  5,  27,    5,     2,    392 
2082,5000,  3,  27,    5,     2,    390 
