EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2561,5000, 14,  14,    6,     2,    396 
1944,5000, 18,  14,    6,     2,    390 
1882,5000, 17,  14,    6,     2,    399 
1808,5000, 19,  14,    6,     2,    395 
1848,5000, 13,  14,    6,     2,    398 
1901,5000, 20,  14,    6,     2,    396 
1804,5000, 18,  14,    6,     2,    392 
1774,5000, 18,  14,    6,     2,    394 
1810,5000, 13,  14,    6,     2,    396 
1828,5000, 18,  14,    6,     2,    395 
