EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
4203,5000,659,   2,    5,     2,    394 
3283,5000,691,   2,    5,     2,    400 
3040,5000,586,   2,    5,     2,    397 
2969,5000,670,   2,    5,     2,    394 
3324,5000,775,   2,    5,     2,    396 
3021,5000,695,   2,    5,     2,    394 
2932,5000,652,   2,    5,     2,    397 
3123,5000,746,   2,    5,     2,    399 
3055,5000,708,   2,    5,     2,    402 
2964,5000,690,   2,    5,     2,    387 
