Current parameters
 - debug = true
 - runAutotest = false
 - runChromosome = false
 - runExperiment = true
 - chromosome = null
 - showSheets = false
 - saveRatMap = .
 - numberOfGenerations = 50
 - population = 15
 - numberOfProfiles = 5
 - numberOfInitialAgents = 15
 - numberOfCells = 10
 - numberOfFoodPieces = 10
 - numberOfDays = 1000
 - numberOfExecutions = 5
 - patterns = E:\2_trabajo\doctorado\made\2014\pattern_revenge.txt
 - baseDays = 500
 - baseEnergy = 5
 - baseSmell = 3
 - baseNutrition = 4
 - baseByte = 5
 - baseFur = 5
 - baseAgeToBeAdultFemale = 42
 - baseToBeAdultMale = 49
 - basePregnancyTime = 30
 - help = false
 - seed = 1384136356984

gen = -001,avg = 35,000,best = 35,000,chrom = {0,759;0,383;0,012;0,619;0,880;0,933;0,765;0,491;0,191;0,394;0,282;0,951;0,968;0,367;0,457;0,583;0,691;0,266;0,915;0,898;0,590;0,836;0,879;0,889;0,604;0,150;0,094;0,742;0,847;0,900;0,573;0,057;0,427;0,920;0,182;0,767;0,600;0,667;0,358;0,920;0,787;0,799;0,357;0,624;0,974;0,101;0,461;0,757;0,318;0,755;0,545;0,485;0,629;0,334;0,214;0,251;0,497;0,986;0,511;0,637}
gen = 0000,avg = 60,880,best = 193,400,chrom = {0,850;0,154;0,087;0,022;0,745;0,496;0,081;0,313;0,432;0,810;0,949;0,368;0,306;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,660;0,998;0,950;0,728;0,030;0,538;0,282;0,214;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,637;0,394;0,630;0,941;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,349;0,292;0,956}
gen = 0001,avg = 144,787,best = 227,600,chrom = {0,850;0,154;0,087;0,022;0,745;0,496;0,081;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,950;0,728;0,030;0,538;0,282;0,214;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,941;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0002,avg = 201,907,best = 237,200,chrom = {0,850;0,154;0,087;0,022;0,745;0,496;0,081;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,936;0,950;0,728;0,030;0,538;0,282;0,214;0,527;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,941;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0003,avg = 222,027,best = 257,400,chrom = {0,850;0,154;0,087;0,022;0,745;0,496;0,500;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,214;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,941;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0004,avg = 241,067,best = 257,400,chrom = {0,850;0,154;0,087;0,022;0,745;0,496;0,500;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,214;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,941;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0005,avg = 258,693,best = 275,800,chrom = {0,850;0,154;0,087;0,022;0,745;0,496;0,500;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,214;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,941;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0006,avg = 271,253,best = 296,200,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,422;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,214;0,416;0,180;0,530;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,941;0,239;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0007,avg = 282,973,best = 318,200,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,961;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,378;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0008,avg = 294,360,best = 318,200,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,961;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,378;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0009,avg = 298,960,best = 318,200,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,728;0,030;0,538;0,369;0,961;0,416;0,180;0,543;0,724;0,426;0,616;0,089;0,321;0,147;0,630;0,378;0,931;0,228;0,778;0,003;0,209;0,043;0,732;0,649;0,292;0,956}
gen = 0010,avg = 307,360,best = 320,400,chrom = {0,850;0,154;0,087;0,022;0,745;0,423;0,500;0,313;0,432;0,810;0,949;0,130;0,813;0,093;0,038;0,442;0,268;0,989;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,015;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,426;0,616;0,089;0,321;0,159;0,630;0,378;0,931;0,228;0,488;0,003;0,646;0,043;0,732;0,649;0,292;0,059}
gen = 0011,avg = 319,360,best = 344,600,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,015;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,426;0,616;0,089;0,321;0,159;0,630;0,378;0,931;0,228;0,488;0,003;0,646;0,043;0,732;0,649;0,292;0,059}
gen = 0012,avg = 329,013,best = 344,600,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,015;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,426;0,616;0,089;0,321;0,159;0,630;0,378;0,931;0,228;0,488;0,003;0,646;0,043;0,732;0,649;0,292;0,059}
gen = 0013,avg = 340,333,best = 366,200,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,152;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,426;0,616;0,089;0,321;0,159;0,630;0,378;0,931;0,228;0,488;0,003;0,646;0,043;0,732;0,510;0,292;0,059}
gen = 0014,avg = 346,773,best = 366,200,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,152;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,944;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,426;0,616;0,089;0,321;0,159;0,630;0,378;0,931;0,228;0,488;0,003;0,646;0,043;0,732;0,510;0,292;0,059}
gen = 0015,avg = 356,387,best = 368,400,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,015;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,188;0,616;0,089;0,054;0,159;0,630;0,378;0,856;0,228;0,488;0,003;0,646;0,043;0,633;0,824;0,292;0,059}
gen = 0016,avg = 360,733,best = 368,400,chrom = {0,850;0,099;0,087;0,022;0,745;0,496;0,788;0,313;0,432;0,810;0,949;0,368;0,813;0,093;0,038;0,442;0,268;0,998;0,119;0,190;0,226;0,626;0,763;0,619;0,916;0,190;0,015;0,245;0,862;0,273;0,547;0,507;0,998;0,035;0,661;0,030;0,538;0,369;0,961;0,416;0,378;0,900;0,724;0,188;0,616;0,089;0,054;0,159;0,630;0,378;0,856;0,228;0,488;0,003;0,646;0,043;0,633;0,824;0,292;0,059}
