Current parameters
 - debug = true
 - runAutotest = false
 - runChromosome = false
 - runExperiment = true
 - chromosome = null
 - showSheets = false
 - saveRatMap = .
 - numberOfGenerations = 50
 - population = 15
 - numberOfProfiles = 2
 - numberOfInitialAgents = 15
 - numberOfCells = 10
 - numberOfFoodPieces = 10
 - numberOfDays = 1000
 - numberOfExecutions = 5
 - patterns = E:\2_trabajo\doctorado\made\2014\pattern_revenge.txt
 - baseDays = 500
 - baseEnergy = 5
 - baseSmell = 3
 - baseNutrition = 4
 - baseByte = 5
 - baseFur = 5
 - baseAgeToBeAdultFemale = 42
 - baseToBeAdultMale = 49
 - basePregnancyTime = 30
 - help = false
 - seed = 1384142764465

gen = 0018,avg = 364,520,best = 379,600,chrom = {0,680;0,073;0,979;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,802;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0019,avg = 371,107,best = 379,600,chrom = {0,680;0,073;0,979;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,802;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0020,avg = 373,627,best = 379,600,chrom = {0,680;0,073;0,979;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,802;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0021,avg = 380,013,best = 393,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,802;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0022,avg = 382,640,best = 393,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,802;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0023,avg = 387,640,best = 397,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0024,avg = 390,173,best = 397,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,279;0,478;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0025,avg = 393,480,best = 398,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0026,avg = 397,480,best = 409,400,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0027,avg = 405,280,best = 427,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
