EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
11766,5018,334,9,9,2,397 
11125,5018,247,9,9,2,398 
11594,5018,270,9,9,2,394 
11391,5009,233,9,9,2,391 
12500,5018,282,9,9,2,396 
11531,5018,264,9,9,2,396 
11515,5018,254,9,9,2,395 
12437,5009,263,9,9,2,395 
10922,5009,276,9,9,2,393 
12328,5018,283,9,9,2,393 
