EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
1598,5000,83,2,4,2,399
1397,5000,89,2,4,2,397
1288,5000,68,2,4,2,402
1252,5000,96,2,4,2,398
1227,5000,94,2,4,2,396
1190,5000,79,2,4,2,398
1164,5000,80,2,4,2,399
1519,5000,107,2,4,2,398
1317,5000,90,2,4,2,399
1129,5000,69,2,4,2,395
