EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
1502,5000,55,5,9,2,398
1333,5000,85,5,9,2,399
1134,5000,66,5,9,2,400
1154,5000,71,5,9,2,399
1281,5000,83,5,9,2,396
1209,5000,73,5,9,2,396
1176,5000,75,5,9,2,404
1355,5000,66,5,9,2,405
1094,5000,68,5,9,2,395
1126,5000,79,5,9,2,398
