J1,J2,Wins,Type,Turns,Map
a_0,s_20,a_0,AREA,1001,64
a_0,s_0,a_0,AREA,1001,13
a_0,s_1,a_0,AREA,133,13
a_0,s_2,a_0,AREA,38,13
a_0,s_3,a_0,AREA,1001,13
a_0,s_4,a_0,AREA,1001,13
a_0,s_5,a_0,AREA,1001,13
a_0,s_6,s_6,SLOPE,39,13
a_0,s_7,a_0,AREA,100,13
a_0,s_8,a_0,AREA,41,13
a_0,s_9,a_0,AREA,1001,13
a_0,s_10,s_10,SLOPE,1001,13
a_0,s_11,s_11,SLOPE,69,13
a_0,s_12,s_12,SLOPE,1001,13
a_0,s_13,a_0,AREA,185,13
a_0,s_14,a_0,AREA,54,13
a_0,s_15,s_15,SLOPE,72,13
a_0,s_16,a_0,AREA,118,13
a_0,s_17,a_0,AREA,85,13
a_0,s_18,s_18,SLOPE,1001,13
a_0,s_19,s_19,SLOPE,1001,13
a_0,s_20,a_0,AREA,1001,13
a_0,s_0,a_0,AREA,1001,87
a_0,s_1,a_0,AREA,1001,87
a_0,s_2,a_0,AREA,101,87
a_0,s_3,s_3,SLOPE,1001,87
a_0,s_4,s_4,SLOPE,1001,87
a_0,s_5,a_0,AREA,88,87
a_0,s_6,s_6,SLOPE,1001,87
a_0,s_7,a_0,AREA,1001,87
a_0,s_8,s_8,SLOPE,1001,87
a_0,s_9,a_0,AREA,1001,87
a_0,s_10,s_10,SLOPE,1001,87
a_0,s_11,s_11,SLOPE,49,87
a_0,s_12,s_12,SLOPE,1001,87
a_0,s_13,a_0,AREA,171,87
a_0,s_14,s_14,SLOPE,1001,87
a_0,s_15,s_15,SLOPE,88,87
a_0,s_16,a_0,AREA,1001,87
a_0,s_17,a_0,AREA,111,87
a_0,s_18,s_18,SLOPE,1001,87
a_0,s_19,s_19,SLOPE,47,87
a_0,s_20,a_0,AREA,1001,87
a_0,t_0,a_0,AREA,66,11
a_0,t_1,t_1,TURNS,216,11
a_0,t_2,t_2,TURNS,243,11
a_0,t_3,t_3,TURNS,216,11
a_0,t_4,t_4,TURNS,243,11
a_0,t_5,t_5,TURNS,167,11
a_0,t_6,t_6,TURNS,225,11
a_0,t_7,t_7,TURNS,167,11
a_0,t_8,t_8,TURNS,183,11
a_0,t_9,t_9,TURNS,216,11
a_0,t_10,t_10,TURNS,291,11
a_0,t_11,t_11,TURNS,243,11
a_0,t_12,t_12,TURNS,449,11
a_0,t_13,t_13,TURNS,277,11
a_0,t_14,t_14,TURNS,243,11
a_0,t_15,t_15,TURNS,250,11
a_0,t_16,t_16,TURNS,232,11
a_0,t_17,t_17,TURNS,102,11
a_0,t_18,t_18,TURNS,243,11
a_0,t_19,a_0,AREA,83,11
a_0,t_20,t_20,TURNS,169,11
a_0,t_0,a_0,AREA,1001,76
a_0,t_1,t_1,TURNS,325,76
a_0,t_2,a_0,AREA,1001,76
a_0,t_3,a_0,AREA,1001,76
a_0,t_4,a_0,AREA,1001,76
a_0,t_5,a_0,AREA,1001,76
a_0,t_6,a_0,AREA,1001,76
a_0,t_7,a_0,AREA,1001,76
a_0,t_8,a_0,AREA,1001,76
a_0,t_9,a_0,AREA,1001,76
a_0,t_10,a_0,AREA,1001,76
a_0,t_11,a_0,AREA,1001,76
a_0,t_12,a_0,AREA,1001,76
a_0,t_13,t_13,TURNS,726,76
a_0,t_14,a_0,AREA,1001,76
a_0,t_15,a_0,AREA,1001,76
a_0,t_16,a_0,AREA,1001,76
a_0,t_17,a_0,AREA,180,76
a_0,t_18,a_0,AREA,1001,76
a_0,t_19,t_19,TURNS,307,76
a_0,t_20,a_0,AREA,1001,76
a_0,t_0,a_0,AREA,87,69
a_0,t_1,t_1,TURNS,189,69
a_0,t_2,t_2,TURNS,208,69
a_0,t_3,t_3,TURNS,305,69
a_0,t_4,t_4,TURNS,208,69
a_0,t_5,t_5,TURNS,148,69
a_0,t_6,t_6,TURNS,304,69
a_0,t_7,a_0,AREA,1001,69
a_0,t_8,t_8,TURNS,201,69
a_0,t_9,t_9,TURNS,205,69
a_0,t_10,t_10,TURNS,316,69
a_0,t_11,t_11,TURNS,208,69
a_0,t_12,t_12,TURNS,165,69
a_0,t_13,t_13,TURNS,367,69
a_0,t_14,t_14,TURNS,204,69
a_0,t_15,t_15,TURNS,208,69
a_0,t_16,t_16,TURNS,233,69
a_0,t_17,t_17,TURNS,240,69
a_0,t_18,t_18,TURNS,208,69
a_0,t_19,a_0,AREA,116,69
a_0,t_20,t_20,TURNS,233,69
a_0,t_0,t_0,TURNS,165,7
a_0,t_1,t_1,TURNS,182,7
a_0,t_2,t_2,TURNS,157,7
a_0,t_3,t_3,TURNS,177,7
a_0,t_4,t_4,TURNS,154,7
a_0,t_5,a_0,AREA,1001,7
a_0,t_6,t_6,TURNS,169,7
