Current parameters
 - debug = true
 - runAutotest = false
 - runChromosome = false
 - runExperiment = true
 - chromosome = null
 - showSheets = false
 - saveRatMap = .
 - numberOfGenerations = 50
 - population = 15
 - numberOfProfiles = 4
 - numberOfInitialAgents = 15
 - numberOfCells = 10
 - numberOfFoodPieces = 10
 - numberOfDays = 1000
 - numberOfExecutions = 5
 - patterns = E:\2_trabajo\doctorado\made\2014\pattern_revenge.txt
 - baseDays = 500
 - baseEnergy = 5
 - baseSmell = 3
 - baseNutrition = 4
 - baseByte = 5
 - baseFur = 5
 - baseAgeToBeAdultFemale = 42
 - baseToBeAdultMale = 49
 - basePregnancyTime = 30
 - help = false
 - seed = 1384127155166

gen = -001,avg = 30,400,best = 30,400,chrom = {0,379;0,280;0,743;0,795;0,660;0,911;0,734;0,097;0,820;0,541;0,025;0,246;0,552;0,767;0,393;0,027;0,350;0,851;0,493;0,279;0,637;0,012;0,817;0,621;0,907;0,522;0,309;0,440;0,310;0,756;0,669;0,967;0,020;0,732;0,825;0,836;0,940;0,594;0,274;0,042;0,792;0,989;0,984;0,872;0,382;0,250;0,348;0,971}
gen = 0000,avg = 46,387,best = 122,200,chrom = {0,538;0,864;0,116;0,647;0,178;0,123;0,015;0,965;0,142;0,224;0,873;0,495;0,909;0,158;0,796;0,321;0,518;0,108;0,396;0,182;0,468;0,192;0,072;0,867;0,061;0,572;0,391;0,104;0,583;0,544;0,894;0,046;0,235;0,272;0,688;0,680;0,591;0,371;0,056;0,647;0,436;0,620;0,905;0,186;0,263;0,734;0,327;0,197}
gen = 0001,avg = 111,213,best = 158,200,chrom = {0,538;0,864;0,116;0,647;0,178;0,123;0,015;0,965;0,142;0,224;0,873;0,495;0,048;0,158;0,796;0,767;0,518;0,108;0,396;0,182;0,619;0,192;0,072;0,867;0,061;0,572;0,391;0,104;0,583;0,544;0,894;0,046;0,235;0,272;0,688;0,680;0,591;0,371;0,056;0,647;0,436;0,620;0,905;0,186;0,263;0,734;0,327;0,197}
gen = 0002,avg = 178,787,best = 262,000,chrom = {0,349;0,235;0,699;0,688;0,307;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,085;0,087;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,429;0,387;0,619;0,771;0,358;0,921;0,400;0,067;0,821;0,306;0,176;0,685;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0003,avg = 229,067,best = 262,000,chrom = {0,349;0,235;0,699;0,688;0,307;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,085;0,087;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,429;0,387;0,619;0,771;0,358;0,921;0,400;0,067;0,821;0,306;0,176;0,685;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0004,avg = 268,520,best = 307,000,chrom = {0,349;0,235;0,699;0,347;0,307;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,087;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,467;0,387;0,619;0,771;0,358;0,921;0,073;0,067;0,821;0,306;0,176;0,506;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0005,avg = 283,640,best = 307,000,chrom = {0,349;0,235;0,699;0,347;0,307;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,087;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,467;0,387;0,619;0,771;0,358;0,921;0,073;0,067;0,821;0,306;0,176;0,506;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0006,avg = 304,840,best = 345,000,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,358;0,921;0,614;0,067;0,821;0,306;0,176;0,506;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0007,avg = 322,973,best = 345,000,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,358;0,921;0,614;0,067;0,821;0,306;0,176;0,506;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0008,avg = 334,187,best = 351,000,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,358;0,921;0,614;0,067;0,821;0,306;0,176;0,506;0,227;0,906;0,043;0,948;0,157;0,512;0,455;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0009,avg = 350,987,best = 391,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,567;0,921;0,073;0,067;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0010,avg = 360,667,best = 391,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,567;0,921;0,073;0,067;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0011,avg = 373,293,best = 391,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,567;0,921;0,073;0,067;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0012,avg = 383,520,best = 391,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,567;0,921;0,073;0,067;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0013,avg = 387,733,best = 391,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,131;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,567;0,921;0,073;0,067;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0014,avg = 390,747,best = 400,400,chrom = {0,902;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,385;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,250;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,293;0,020}
gen = 0015,avg = 395,400,best = 407,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,619;0,771;0,567;0,921;0,073;0,067;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,502;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0016,avg = 402,613,best = 428,400,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0017,avg = 411,933,best = 428,400,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0018,avg = 415,760,best = 428,400,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0019,avg = 425,507,best = 434,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0020,avg = 433,160,best = 446,200,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,187;0,730;0,020}
