standardDeviation,noOfPeaks,EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
31.720025220670934,5,950.8,5000.0,36.6,10.0,10.0,2.0,398.4
25.954851588627015,1,651.8888888888889,5000.0,3.2222222222222223,10.0,1.0,2.0,397.44444444444446
23.30470714254955,2,609.125,5000.0,7.375,10.0,2.0,2.0,397.25
22.696059374065598,1,665.6666666666666,5000.0,10.88888888888889,10.0,3.0,2.0,398.1111111111111
33.7104592334248,1,698.7777777777778,5000.0,13.444444444444445,10.0,4.0,2.0,397.8888888888889
31.30652911825421,1,914.8888888888889,5000.0,16.0,10.0,5.0,2.0,398.3333333333333
34.34178249146887,1,760.4444444444445,5000.0,19.666666666666668,10.0,6.0,2.0,398.55555555555554
36.69787970714385,2,814.375,5000.0,23.875,10.0,7.0,2.0,399.125
22.135943621178654,6,832.0,5000.0,25.0,10.0,8.0,2.0,399.5
42.187412551349695,1,913.3333333333334,5000.0,30.555555555555557,10.0,9.0,2.0,396.77777777777777
40.81616326497959,3,891.5714285714286,5000.0,30.142857142857142,11.0,10.0,2.0,398.42857142857144
18.541245313564506,1,871.6666666666666,5000.0,3.2222222222222223,11.0,1.0,2.0,398.55555555555554
24.20182627533981,1,602.7777777777778,5000.0,5.888888888888889,11.0,2.0,2.0,399.1111111111111
26.868894655344494,2,663.25,5000.0,8.75,11.0,3.0,2.0,398.25
22.150996967781534,1,691.6666666666666,5000.0,12.222222222222221,11.0,4.0,2.0,397.1111111111111
29.449108645254444,4,747.5,5000.0,16.5,11.0,5.0,2.0,397.5
21.2818388929779,4,709.5,5000.0,15.5,11.0,6.0,2.0,398.1666666666667
34.682688605252174,4,792.6666666666666,5000.0,22.5,11.0,7.0,2.0,396.5
49.09627729720905,1,1029.6666666666667,5000.0,25.555555555555557,11.0,8.0,2.0,398.55555555555554
37.0702587208756,3,928.7142857142857,5000.0,28.142857142857142,11.0,9.0,2.0,397.85714285714283
45.54637441358227,4,1081.1666666666667,5000.0,22.666666666666668,12.0,10.0,2.0,398.1666666666667
21.530340349273523,1,595.3333333333334,5000.0,3.111111111111111,12.0,1.0,2.0,396.3333333333333
28.602839876131036,3,596.1428571428571,5000.0,4.714285714285714,12.0,2.0,2.0,398.7142857142857
34.0697813318489,2,684.0,5000.0,8.375,12.0,3.0,2.0,397.875
33.26823575430596,3,674.2857142857143,5000.0,10.714285714285714,12.0,4.0,2.0,398.42857142857144
29.522119767312706,1,695.6666666666666,5000.0,13.11111111111111,12.0,5.0,2.0,398.0
31.015872952409385,2,764.625,5000.0,17.0,12.0,6.0,2.0,398.0
31.756728356654868,3,768.7142857142857,5000.0,19.285714285714285,12.0,7.0,2.0,399.14285714285717
37.81240243329929,1,800.0,5000.0,21.88888888888889,12.0,8.0,2.0,397.77777777777777
40.7390901885125,3,831.4285714285714,5000.0,21.714285714285715,12.0,9.0,2.0,396.7142857142857
37.299918908990726,1,847.7777777777778,5000.0,24.666666666666668,13.0,10.0,2.0,398.6666666666667
19.440614702215566,2,582.25,5000.0,2.75,13.0,1.0,2.0,398.375
20.754889354047773,1,620.8888888888889,5000.0,6.0,13.0,2.0,2.0,397.3333333333333
27.127815381024302,3,654.7142857142857,5000.0,10.857142857142858,13.0,3.0,2.0,397.14285714285717
32.03489308550912,2,693.625,5000.0,10.125,13.0,4.0,2.0,397.25
31.259220861833537,4,793.1666666666666,5000.0,8.166666666666666,13.0,5.0,2.0,396.0
22.90060042880972,2,732.25,5000.0,14.0,13.0,6.0,2.0,397.25
30.56005017447888,4,711.5,5000.0,16.833333333333332,13.0,7.0,2.0,398.5
32.493989828889895,2,826.125,5000.0,18.375,13.0,8.0,2.0,397.75
39.85227824896154,3,1041.7142857142858,5000.0,19.428571428571427,13.0,9.0,2.0,397.42857142857144
18.934096228761486,6,754.0,5000.0,14.75,14.0,10.0,2.0,398.5
13.763433393068464,1,586.8888888888889,5000.0,2.4444444444444446,14.0,1.0,2.0,396.22222222222223
21.02262156068911,1,619.7777777777778,5000.0,4.0,14.0,2.0,2.0,398.77777777777777
25.739914721625308,1,641.8888888888889,5000.0,7.111111111111111,14.0,3.0,2.0,398.0
27.311856399739657,2,663.25,5000.0,9.625,14.0,4.0,2.0,397.0
20.710228879636112,1,708.4444444444445,5000.0,11.222222222222221,14.0,5.0,2.0,398.22222222222223
27.66202270261522,2,745.75,5000.0,13.25,14.0,6.0,2.0,397.375
28.935002592016474,2,754.375,5000.0,15.625,14.0,7.0,2.0,397.75
46.8087729436459,3,1025.2857142857142,5000.0,19.714285714285715,14.0,8.0,2.0,398.85714285714283
35.575272310974654,5,797.0,5000.0,19.8,14.0,9.0,2.0,398.2
35.41762503705331,3,837.8571428571429,5000.0,21.0,15.0,10.0,2.0,396.2857142857143
29.82334821520602,1,684.8888888888889,5000.0,1.8888888888888888,15.0,1.0,2.0,396.55555555555554
29.866369046136157,3,619.0,5000.0,4.571428571428571,15.0,2.0,2.0,397.14285714285717
29.37579786150497,2,642.25,5000.0,4.75,15.0,3.0,2.0,397.0
23.42099933556515,1,667.1111111111111,5000.0,9.0,15.0,4.0,2.0,397.55555555555554
20.01357563946391,1,693.8888888888889,5000.0,9.333333333333334,15.0,5.0,2.0,396.3333333333333
33.673083363569134,1,711.1111111111111,5000.0,10.666666666666666,15.0,6.0,2.0,397.55555555555554
35.66822426505449,1,733.0,5000.0,10.222222222222221,15.0,7.0,2.0,398.0
26.40810017971836,3,767.4285714285714,5000.0,14.0,15.0,8.0,2.0,398.7142857142857
30.198302932449696,2,787.25,5000.0,15.5,15.0,9.0,2.0,396.875
34.99142752160878,5,780.0,5000.0,16.2,16.0,10.0,2.0,399.2
11.527744310527055,1,605.0,5000.0,2.0,16.0,1.0,2.0,396.44444444444446
23.906195281547966,1,634.2222222222222,5000.0,4.111111111111111,16.0,2.0,2.0,398.22222222222223
18.760346939327924,1,653.7777777777778,5000.0,5.555555555555555,16.0,3.0,2.0,395.77777777777777
22.896438884251126,1,663.5555555555555,5000.0,8.666666666666666,16.0,4.0,2.0,397.0
29.79277387219928,2,691.125,5000.0,9.125,16.0,5.0,2.0,397.125
27.8465814556371,1,729.1111111111111,5000.0,10.88888888888889,16.0,6.0,2.0,397.22222222222223
35.602746460849836,1,730.3333333333334,5000.0,12.0,16.0,7.0,2.0,396.8888888888889
36.02550117200145,3,782.8571428571429,5000.0,12.714285714285714,16.0,8.0,2.0,397.0
38.698204356380195,3,801.8571428571429,5000.0,14.571428571428571,16.0,9.0,2.0,397.7142857142857
40.110957217310194,1,828.3333333333334,5000.0,16.444444444444443,17.0,10.0,2.0,397.44444444444446
28.460224436922488,2,600.625,5000.0,1.625,17.0,1.0,2.0,396.625
23.9046459661178,1,631.8888888888889,5000.0,2.6666666666666665,17.0,2.0,2.0,397.0
29.881246441353294,1,643.6666666666666,5000.0,4.222222222222222,17.0,3.0,2.0,397.55555555555554
29.73006127154595,1,670.8888888888889,5000.0,6.222222222222222,17.0,4.0,2.0,396.8888888888889
32.72995569810628,2,720.0,5000.0,7.75,17.0,5.0,2.0,397.625
30.13344804960137,1,720.4444444444445,5000.0,10.333333333333334,17.0,6.0,2.0,396.77777777777777
34.96069221282668,2,724.0,5000.0,10.875,17.0,7.0,2.0,397.5
27.25649769626807,4,722.5,5000.0,7.166666666666667,17.0,8.0,2.0,397.5
28.785575814980668,2,789.125,5000.0,13.625,17.0,9.0,2.0,396.75
35.2442903177238,5,1043.2,5000.0,16.6,18.0,10.0,2.0,397.6
24.895336466450456,1,614.0,5000.0,0.8888888888888888,18.0,1.0,2.0,397.22222222222223
29.35394898455154,1,641.8888888888889,5000.0,3.6666666666666665,18.0,2.0,2.0,397.1111111111111
22.086250680815034,1,656.4444444444445,5000.0,4.777777777777778,18.0,3.0,2.0,396.77777777777777
29.940682097180826,1,697.0,5000.0,6.333333333333333,18.0,4.0,2.0,396.77777777777777
32.31848348855497,2,721.375,5000.0,6.125,18.0,5.0,2.0,396.25
29.851455157161098,2,717.875,5000.0,9.75,18.0,6.0,2.0,396.25
27.94078560098123,2,728.75,5000.0,9.375,18.0,7.0,2.0,396.375
33.77406549410361,2,774.25,5000.0,11.0,18.0,8.0,2.0,396.375
33.648876854662575,1,799.4444444444445,5000.0,13.333333333333334,18.0,9.0,2.0,397.77777777777777
24.48582356294261,1,801.0,5000.0,12.555555555555555,19.0,10.0,2.0,395.3333333333333
