standardDeviation,noOfPeaks,EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
47.388335283987914,1,1860.888888888889,5000.0,46.666666666666664,10.0,10.0,2.0,394.44444444444446
28.323527714997336,1,1734.6666666666667,5000.0,5.333333333333333,10.0,1.0,2.0,395.0
41.66533331199931,1,1777.3333333333333,5000.0,10.555555555555555,10.0,2.0,2.0,396.3333333333333
46.1481778728874,1,1770.111111111111,5000.0,13.444444444444445,10.0,3.0,2.0,394.22222222222223
40.661505440543614,1,1811.5555555555557,5000.0,20.333333333333332,10.0,4.0,2.0,395.6666666666667
54.84073461250776,1,1803.2222222222222,5000.0,23.444444444444443,10.0,5.0,2.0,395.0
50.387388192769905,1,1799.6666666666667,5000.0,29.0,10.0,6.0,2.0,393.44444444444446
30.232841271670523,1,1840.4444444444443,5000.0,32.55555555555556,10.0,7.0,2.0,394.22222222222223
43.40364665796961,1,1877.111111111111,5000.0,36.0,10.0,8.0,2.0,394.55555555555554
54.50404900578205,1,1845.5555555555557,5000.0,41.0,10.0,9.0,2.0,394.8888888888889
61.29064537004438,1,1878.888888888889,5000.0,40.55555555555556,11.0,10.0,2.0,394.1111111111111
41.35334043861631,1,1768.888888888889,5000.0,4.555555555555555,11.0,1.0,2.0,396.0
60.20602488205617,1,2238.1111111111113,5000.0,8.0,11.0,2.0,2.0,393.8888888888889
64.09907454889417,1,1776.5555555555557,5000.0,15.222222222222221,11.0,3.0,2.0,396.3333333333333
46.24758919309027,1,1791.2222222222222,5000.0,16.666666666666668,11.0,4.0,2.0,394.3333333333333
55.08063673569757,1,1795.111111111111,5000.0,19.88888888888889,11.0,5.0,2.0,395.22222222222223
69.3523611710517,2,1850.5,5000.0,24.25,11.0,6.0,2.0,394.5
84.74306906822552,3,2034.4285714285713,5000.0,29.142857142857142,11.0,7.0,2.0,395.57142857142856
82.88449794744491,5,2064.6,5000.0,32.2,11.0,8.0,2.0,393.4
90.595287807035,1,1935.7777777777778,5000.0,40.22222222222222,11.0,9.0,2.0,394.8888888888889
48.86666161386463,1,1839.7777777777778,5000.0,33.77777777777778,12.0,10.0,2.0,396.1111111111111
29.32112540578428,1,1754.7777777777778,5000.0,4.0,12.0,1.0,2.0,394.1111111111111
38.154656043237736,1,1752.3333333333333,5000.0,6.555555555555555,12.0,2.0,2.0,394.6666666666667
27.35771270491092,1,1764.6666666666667,5000.0,10.555555555555555,12.0,3.0,2.0,394.77777777777777
54.92216714992631,1,1779.6666666666667,5000.0,14.222222222222221,12.0,4.0,2.0,396.77777777777777
