Current parameters
 - debug = true
 - runAutotest = false
 - runChromosome = false
 - runExperiment = true
 - chromosome = null
 - showSheets = false
 - saveRatMap = .
 - numberOfGenerations = 50
 - population = 15
 - numberOfProfiles = 3
 - numberOfInitialAgents = 15
 - numberOfCells = 10
 - numberOfFoodPieces = 10
 - numberOfDays = 1000
 - numberOfExecutions = 5
 - patterns = E:\2_trabajo\doctorado\made\2014\pattern_revenge.txt
 - baseDays = 500
 - baseEnergy = 5
 - baseSmell = 3
 - baseNutrition = 4
 - baseByte = 5
 - baseFur = 5
 - baseAgeToBeAdultFemale = 42
 - baseToBeAdultMale = 49
 - basePregnancyTime = 30
 - help = false
 - seed = 1384170296373

gen = 0013,avg = 344,107,best = 376,200,chrom = {0,913;0,691;0,632;0,665;0,967;0,874;0,604;0,772;0,963;0,425;0,037;0,004;0,969;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,792;0,024;0,319;0,126;0,961;0,411;0,796;0,857;0,282;0,639;0,818;0,108}
gen = 0014,avg = 374,347,best = 391,000,chrom = {0,913;0,728;0,632;0,665;0,967;0,874;0,604;0,772;0,963;0,425;0,037;0,004;0,969;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,792;0,372;0,319;0,126;0,961;0,411;0,796;0,857;0,282;0,639;0,818;0,108}
gen = 0015,avg = 384,440,best = 406,800,chrom = {0,913;0,691;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,792;0,055;0,319;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0016,avg = 391,920,best = 406,800,chrom = {0,913;0,691;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,792;0,055;0,319;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0017,avg = 403,787,best = 423,200,chrom = {0,913;0,728;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,792;0,055;0,319;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0018,avg = 416,027,best = 440,400,chrom = {0,913;0,580;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,837;0,551;0,319;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0019,avg = 425,187,best = 440,400,chrom = {0,913;0,580;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,837;0,551;0,319;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0020,avg = 435,827,best = 445,200,chrom = {0,913;0,728;0,632;0,594;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,761;0,641;0,557;0,902;0,091;0,091;0,022;0,792;0,055;0,319;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0021,avg = 441,733,best = 453,600,chrom = {0,913;0,580;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,837;0,551;0,237;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
gen = 0022,avg = 445,253,best = 453,600,chrom = {0,913;0,580;0,632;0,665;0,570;0,874;0,604;0,249;0,433;0,080;0,527;0,004;0,959;0,508;0,406;0,315;0,657;0,258;0,641;0,557;0,902;0,091;0,091;0,022;0,837;0,551;0,237;0,126;0,260;0,411;0,796;0,451;0,282;0,639;0,818;0,108}
