gen = -001,avg = 0,066,best = 0,066,chrom = {0,192;0,060;0,848;0,042;0,353;0,954;0,553;0,769;0,331;0,367;0,802;0,841;0,234;0,304;0,005;0,078;0,977;0,184;0,323;0,818;0,145;0,478;0,165;0,807}
gen = 0000,avg = 0,236,best = 0,458,chrom = {0,053;0,838;0,224;0,769;0,627;0,940;0,886;0,903;0,968;0,787;0,658;0,608;0,352;0,135;0,764;0,853;0,050;0,216;0,363;0,794;0,334;0,448;0,738;0,293}
gen = 0001,avg = 0,424,best = 0,755,chrom = {0,993;0,718;0,550;0,401;0,219;0,794;0,867;0,821;0,490;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0002,avg = 0,584,best = 0,845,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,008;0,554;0,025;0,591;0,940}
gen = 0003,avg = 0,706,best = 1,064,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,490;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0004,avg = 0,795,best = 1,064,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,490;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0005,avg = 0,929,best = 1,096,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0006,avg = 0,995,best = 1,096,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0007,avg = 1,042,best = 1,096,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0008,avg = 1,062,best = 1,096,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0009,avg = 1,070,best = 1,096,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0010,avg = 1,080,best = 1,096,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
gen = 0011,avg = 1,088,best = 1,097,chrom = {0,993;0,718;0,074;0,401;0,219;0,794;0,867;0,821;0,167;0,541;0,459;0,950;0,261;0,861;0,169;0,649;0,791;0,071;0,446;0,042;0,554;0,025;0,591;0,940}
